#Digilent WaveForms Oscilloscope Record
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-16 14:22:41
#Sample rate: 1000Hz
#Samples: 15000
Time (s),Channel 1 (V),Channel 2 (V)
0.585000,2.631412,1.728335
0.586000,2.632901,1.724369
0.587000,2.633637,1.706785
0.588000,2.633028,1.729759
0.589000,2.630967,1.706429
0.590000,2.628435,1.711925
0.591000,2.631847,1.720695
0.592000,2.630631,1.728985
0.593000,2.633557,1.725950
0.594000,2.632280,1.723582
0.595000,2.631962,1.707878
0.596000,2.631681,1.719776
0.597000,2.629199,1.716978
0.598000,2.632534,1.722924
0.599000,2.632567,1.727077
0.600000,2.631318,1.716340
0.601000,2.634507,1.727740
0.602000,2.635113,1.721451
0.603000,2.631391,1.711421
0.604000,2.631869,1.722781
0.605000,2.631522,1.731207
0.606000,2.630754,1.727168
0.607000,2.632892,1.730690
0.608000,2.630855,1.721285
0.609000,2.630805,1.712400
0.610000,2.635017,1.724255
0.611000,2.631418,1.720153
0.612000,2.631399,1.721269
0.613000,2.629489,1.704562
0.614000,2.629286,1.720150
0.615000,2.630773,1.715081
0.616000,2.630384,1.710767
0.617000,2.631615,1.728403
0.618000,2.631713,1.720541
0.619000,2.634612,1.725909
0.620000,2.630808,1.727236
0.621000,2.631378,1.720839
0.622000,2.631199,1.723357
0.623000,2.631576,1.721560
0.624000,2.632400,1.728267
0.625000,2.630207,1.721309
0.626000,2.630818,1.722163
0.627000,2.632280,1.738068
0.628000,2.632246,1.721794
0.629000,2.630804,1.733309
0.630000,2.632967,1.718835
0.631000,2.632481,1.733533
0.632000,2.633484,1.722988
0.633000,2.632148,1.715931
0.634000,2.634242,1.717728
0.635000,2.631287,1.719133
0.636000,2.632657,1.714663
0.637000,2.631776,1.727513
0.638000,2.631126,1.727096
0.639000,2.630961,1.728394
0.640000,2.631961,1.726994
0.641000,2.631117,1.704116
0.642000,2.633171,1.716141
0.643000,2.632053,1.728225
0.644000,2.630522,1.724931
0.645000,2.635493,1.727823
0.646000,2.633812,1.720895
0.647000,2.631032,1.719915
0.648000,2.631769,1.729186
0.649000,2.634755,1.733379
0.650000,2.632292,1.723675
0.651000,2.635120,1.707867
0.652000,2.631201,1.724302
0.653000,2.634058,1.719516
0.654000,2.631603,1.732272
0.655000,2.631713,1.703496
0.656000,2.633466,1.726230
0.657000,2.630895,1.721317
0.658000,2.631885,1.725398
0.659000,2.631278,1.730070
0.660000,2.629919,1.731349
0.661000,2.632908,1.729901
0.662000,2.633535,1.714625
0.663000,2.632074,1.727045
0.664000,2.632052,1.725600
0.665000,2.633872,1.721677
0.666000,2.631947,1.717681
0.667000,2.630298,1.728955
0.668000,2.631005,1.720992
0.669000,2.632016,1.718585
0.670000,2.630762,1.721094
0.671000,2.627938,1.712831
0.672000,2.632387,1.732638
0.673000,2.630652,1.708436
0.674000,2.631135,1.716436
0.675000,2.632403,1.722718
0.676000,2.628535,1.712995
0.677000,2.632318,1.728978
0.678000,2.630912,1.728424
0.679000,2.630808,1.728758
0.680000,2.631360,1.713263
0.681000,2.632217,1.727012
0.682000,2.632513,1.714265
0.683000,2.633298,1.722248
0.684000,2.633257,1.715235
0.685000,2.635139,1.716374
0.686000,2.634177,1.713842
0.687000,2.632233,1.714205
0.688000,2.631502,1.721026
0.689000,2.632708,1.719517
0.690000,2.630704,1.712189
0.691000,2.631784,1.714543
0.692000,2.632710,1.714284
0.693000,2.633267,1.721331
0.694000,2.632695,1.720633
0.695000,2.632343,1.730618
0.696000,2.631664,1.718967
0.697000,2.634502,1.726415
0.698000,2.629933,1.712095
0.699000,2.632828,1.716826
0.700000,2.632506,1.720848
0.701000,2.633075,1.721770
0.702000,2.633759,1.735401
0.703000,2.634791,1.733626
0.704000,2.630284,1.728624
0.705000,2.632515,1.714161
0.706000,2.634354,1.709970
0.707000,2.631345,1.712451
0.708000,2.631728,1.729570
0.709000,2.630126,1.725900
0.710000,2.633266,1.717798
0.711000,2.632460,1.728837
0.712000,2.631266,1.726286
0.713000,2.630312,1.721450
0.714000,2.634343,1.736596
0.715000,2.635647,1.722665
0.716000,2.632237,1.722256
0.717000,2.632190,1.725174
0.718000,2.631344,1.723757
0.719000,2.632117,1.719689
0.720000,2.634727,1.724355
0.721000,2.634004,1.717527
0.722000,2.630078,1.713636
0.723000,2.632478,1.735003
0.724000,2.630399,1.719687
0.725000,2.629246,1.718891
0.726000,2.630146,1.722871
0.727000,2.631975,1.708396
0.728000,2.632973,1.724564
0.729000,2.631677,1.726370
0.730000,2.632080,1.729129
0.731000,2.632405,1.714874
0.732000,2.630574,1.735010
0.733000,2.633595,1.705659
0.734000,2.633105,1.734518
0.735000,2.633328,1.736554
0.736000,2.630942,1.727400
0.737000,2.631789,1.724786
0.738000,2.633757,1.708180
0.739000,2.631968,1.732177
0.740000,2.636056,1.722369
0.741000,2.633197,1.712278
0.742000,2.631153,1.719355
0.743000,2.633728,1.720262
0.744000,2.632244,1.729126
0.745000,2.630373,1.711908
0.746000,2.631288,1.713625
0.747000,2.633147,1.733881
0.748000,2.632309,1.735260
0.749000,2.631312,1.715983
0.750000,2.632607,1.730912
0.751000,2.632462,1.714702
0.752000,2.631107,1.716189
0.753000,2.633493,1.725480
0.754000,2.631654,1.725040
0.755000,2.633962,1.722884
0.756000,2.633326,1.725248
0.757000,2.631836,1.705336
0.758000,2.630673,1.716213
0.759000,2.635265,1.716441
0.760000,2.630511,1.719857
0.761000,2.631943,1.725400
0.762000,2.636072,1.716059
0.763000,2.633069,1.725309
0.764000,2.633633,1.732082
0.765000,2.634043,1.726409
0.766000,2.632126,1.716143
0.767000,2.633247,1.723921
0.768000,2.632226,1.721724
0.769000,2.631477,1.737689
0.770000,2.632046,1.723895
0.771000,2.633852,1.706941
0.772000,2.630123,1.716528
0.773000,2.634983,1.704383
0.774000,2.634109,1.711348
0.775000,2.632476,1.735690
0.776000,2.634974,1.732501
0.777000,2.634576,1.727730
0.778000,2.632982,1.708820
0.779000,2.632638,1.708340
0.780000,2.632041,1.728534
0.781000,2.630838,1.728003
0.782000,2.632699,1.724731
0.783000,2.630719,1.711703
0.784000,2.632043,1.721397
0.785000,2.630239,1.725303
0.786000,2.631066,1.732627
0.787000,2.631815,1.721350
0.788000,2.633017,1.722959
0.789000,2.631425,1.715888
0.790000,2.632528,1.720163
0.791000,2.631788,1.718954
0.792000,2.633822,1.704525
0.793000,2.633312,1.708560
0.794000,2.632096,1.712518
0.795000,2.633251,1.732756
0.796000,2.632166,1.727121
0.797000,2.630496,1.727241
0.798000,2.634054,1.725143
0.799000,2.631540,1.722125
0.800000,2.630989,1.733478
0.801000,2.630760,1.719064
0.802000,2.631908,1.721238
0.803000,2.631716,1.724165
0.804000,2.631576,1.714932
0.805000,2.632431,1.714805
0.806000,2.629919,1.709122
0.807000,2.632525,1.722445
0.808000,2.630561,1.714877
0.809000,2.632888,1.715515
0.810000,2.631910,1.716960
0.811000,2.632116,1.713579
0.812000,2.634558,1.708165
0.813000,2.632863,1.729165
0.814000,2.629346,1.716383
0.815000,2.635447,1.718198
0.816000,2.634014,1.716844
0.817000,2.632648,1.723103
0.818000,2.633679,1.723885
0.819000,2.633718,1.725548
0.820000,2.633571,1.720513
0.821000,2.627685,1.728969
0.822000,2.631189,1.724856
0.823000,2.631054,1.728349
0.824000,2.631896,1.725828
0.825000,2.632758,1.713412
0.826000,2.634117,1.739722
0.827000,2.632301,1.727170
0.828000,2.633080,1.722744
0.829000,2.633386,1.707518
0.830000,2.631331,1.709973
0.831000,2.631428,1.744182
0.832000,2.630068,1.724165
0.833000,2.634368,1.724360
0.834000,2.634265,1.719464
0.835000,2.632419,1.716436
0.836000,2.631368,1.710341
0.837000,2.634141,1.720732
0.838000,2.630971,1.730670
0.839000,2.630165,1.724513
0.840000,2.632107,1.727195
0.841000,2.633967,1.719984
0.842000,2.635252,1.734136
0.843000,2.632764,1.713780
0.844000,2.632416,1.711240
0.845000,2.633497,1.722553
0.846000,2.630788,1.720743
0.847000,2.631522,1.711954
0.848000,2.633031,1.725010
0.849000,2.632979,1.718816
0.850000,2.628961,1.713209
0.851000,2.632170,1.732237
0.852000,2.631926,1.730794
0.853000,2.631208,1.715951
0.854000,2.631776,1.732549
0.855000,2.631823,1.714913
0.856000,2.633159,1.714647
0.857000,2.631496,1.722632
0.858000,2.631242,1.720220
0.859000,2.632942,1.734023
0.860000,2.631840,1.731350
0.861000,2.632232,1.728779
0.862000,2.630950,1.725169
0.863000,2.630813,1.724826
0.864000,2.632483,1.719026
0.865000,2.631952,1.712659
0.866000,2.630069,1.734632
0.867000,2.633091,1.719661
0.868000,2.631778,1.721024
0.869000,2.629430,1.704526
0.870000,2.631825,1.742665
0.871000,2.631192,1.730771
0.872000,2.632172,1.723529
0.873000,2.632611,1.727813
0.874000,2.630128,1.723864
0.875000,2.631892,1.715176
0.876000,2.632508,1.717336
0.877000,2.628747,1.711417
0.878000,2.631409,1.728851
0.879000,2.632613,1.714246
0.880000,2.632845,1.722153
0.881000,2.632105,1.712486
0.882000,2.630637,1.734883
0.883000,2.630799,1.725934
0.884000,2.628697,1.708741
0.885000,2.632187,1.736445
0.886000,2.633706,1.740645
0.887000,2.629220,1.712917
0.888000,2.634378,1.721519
0.889000,2.632742,1.728768
0.890000,2.632823,1.725980
0.891000,2.633043,1.731858
0.892000,2.629915,1.711363
0.893000,2.633550,1.734425
0.894000,2.630393,1.731827
0.895000,2.633100,1.724264
0.896000,2.632614,1.716674
0.897000,2.633551,1.728638
0.898000,2.632511,1.734389
0.899000,2.632670,1.714417
0.900000,2.633916,1.726315
0.901000,2.629220,1.731470
0.902000,2.631451,1.710087
0.903000,2.633063,1.721615
0.904000,2.634853,1.738388
0.905000,2.632453,1.725263
0.906000,2.631876,1.727300
0.907000,2.629106,1.731078
0.908000,2.631256,1.713182
0.909000,2.632057,1.705719
0.910000,2.631177,1.723318
0.911000,2.635770,1.728585
0.912000,2.633458,1.735919
0.913000,2.630744,1.721014
0.914000,2.631510,1.733341
0.915000,2.631747,1.707578
